,mapped_features,reference_features,ID,ID_group
132.1028,0.94_132.1028,2.63_132.1033,Leucine,AA
120.0813,1.61_120.0813,2.12_120.0815,Indoline,indole
118.0658,1.61_118.0658,2.5_118.066,Indole,indole
132.0662,1.9_132.0662,2.24_132.0663,Hydroxyproline,AA
146.0607,2.04_146.0607,2.5_146.0609,Indole-3-carboxaldehyde,indole
118.0657,2.04_118.0657,2.5_118.066,Indole,indole
118.0661,6.31_118.0661,2.5_118.066,Indole,indole
520.3405,6.82_520.3405,7.39_520.3406,LysoPC(18:2),lysoPC
544.3401,6.84_544.3401,7.38_544.3401,LysoPC(20:4),lysoPC
520.3406,6.95_520.3406,7.39_520.3406,LysoPC(18:2),lysoPC
544.3404,6.95_544.3404,7.38_544.3401,LysoPC(20:4),lysoPC
496.3404,7.09_496.3404,7.58_496.3402,LysoPC(16:0),lysoPC
279.2322,7.13_279.2322,7.52_279.2328,Linolenic acid,PUFA
496.3403,7.25_496.3403,7.58_496.3402,LysoPC(16:0),lysoPC
279.2351,7.25_279.2351,7.52_279.2328,Linolenic acid,PUFA
480.3443,7.48_480.3443,8_480.345,LysoPC(P-16:0),lysoPC
303.2325,7.58_303.2325,7.93_303.2325,Eicosapentaenoic acid (EPA),PUFA
508.3762,7.66_508.3762,8.19_508.3767,LysoPC(P-18:0),lysoPC
812.5523,7.69_812.5523,9.83_812.5424,oxPC36:5+2O,oxPC
524.3718,7.9_524.3718,8.67_524.3718,LysoPC(18:0),lysoPC
524.3719,8.07_524.3719,8.67_524.3718,LysoPC(18:0),lysoPC
812.5476,8.18_812.5476,9.83_812.5424,oxPC36:5+2O,oxPC
118.0666,8.26_118.0666,2.5_118.066,Indole,indole
854.5561,8.28_854.5561,9.57_854.5527,oxPC38:6+3O,oxPC
508.3755,8.31_508.3755,8.19_508.3767,LysoPC(P-18:0),lysoPC
812.5469,8.31_812.5469,9.83_812.5424,oxPC36:5+2O,oxPC
510.3921,8.33_510.3921,8.93_510.3923,LysoPC(O-18:0),lysoPC
796.5494,8.59_796.5494,9.77_796.5427,oxPC36:5+1O,oxPC
279.2327,8.6_279.2327,7.52_279.2328,Linolenic acid,PUFA
820.553,8.87_820.553,10.07_820.5467,oxPC38:7+1O,oxPC
832.584,9.49_832.584,9.67_832.5718,oxPC36:3+3O,oxPC
758.5713,9.06_758.5713,9.18_758.5698,PC34:2,PC
860.5416,9.06_860.5416,9.82_860.5427,oxPC40:9+2O,oxPC
838.5634,9.15_838.5634,9.62_838.5595,oxPC38:6+2O,oxPC
836.5459,9.28_836.5459,9.77_836.5425,oxPC38:7+2O,oxPC
860.5485,9.56_860.5485,9.82_860.5427,oxPC40:9+2O,oxPC
810.5133,9.58_810.5133,9.77_810.5275,oxPC36:6+2O,oxPC
524.3691,10.21_524.3691,8.67_524.3718,LysoPC(18:0),lysoPC
