,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
1.07_167.0199,409959.6360416341,161795.2146353841,324402.504041634,350953.2440416339,271730.664041634,171416.9280416341,196234.33054163403,197041.5696179977,236981.10266232365
0.66_247.0926,356770.5755862061,342900.945961206,517.6033317241364,420.74785448275713,812.7581644827571,334497.56658620597,339578.55158620595,357991.4570407514,296688.0564137922
0.83_247.0925,684653.1158688951,632651.3514938958,2.6946017586206876,0.0,1.29508288965517,617451.525868896,626378.370868896,650439.0195052593,510620.4841447582
9.86_820.539,1793.4999817930986,9062.02314084049,2839.884022068963,1834.571883448273,1450.6982213793085,9786.591478103419,6778.364977758593,7095.037526708438,2115.585291557667
10.1_820.5478,458.1105506206884,33651.65096379301,193.924644137931,111.19704413793099,179.134122068965,56478.48960965505,32764.767198620597,18477.495568275837,10754.782565398315
2.09_120.0813,94923.14794530618,110715.77314278118,126592.65536672408,143025.59768072408,119298.00190617924,90663.71943708786,93376.44870772408,118699.40068812908,107800.48440375853
0.62_132.0657,191.28577034482728,147.28715323275839,176.84176149655164,149.2012979310344,88.7181334482758,144.3946106896548,297.1847824310341,170.8092689404387,163.8400825208085
0.67_132.0662,64749.69905664555,74966.90042664546,3161.3302213166885,3518.946534645861,1421.3109789812745,70401.92019664551,63505.4130916455,77870.02883119091,56166.16365250763
0.83_132.066,304523.0009830341,333690.99350628396,3.4337430068965404,0.40963900689655003,0.742716503448275,299263.0715510343,285173.06769653433,333574.6133913976,242160.97737848255
2.51_132.0659,2336.5900579172403,2230.92725951724,3162.1627215172402,2717.158305710344,3539.7595645655165,2027.0753735172407,2587.8934564672404,2131.936497699059,2486.1299888275853
2.51_118.0656,23477.3391437103,25002.459463550622,26092.092062689633,26638.554129793076,29626.06312979301,21795.206540362044,22559.268505687905,25746.873635241987,24504.057089850157
2.51_146.0607,140755.4396480343,148776.6937192843,155460.3624480343,161248.88830803428,177731.9756480343,129764.37075803432,134751.66430803432,152983.60361530696,146176.86802251698
3.77_146.0604,16.27006042482757,30.85170331681032,10.32832251034482,9.820321531034471,23.623506531034458,33.454126041379276,26.10392965862066,153.24675176300917,28.60684399762185
2.48_203.0814,169947.96920379295,158702.571353793,212906.587603793,194879.52760379302,227594.157603793,152618.620103793,173750.492603793,164347.81760379302,166447.74139689645
0.67_132.1022,622.8135947320002,328.29902105,528.2286579999999,222.738382,569.7045,578.3897399999998,404.20768055,803.7167801850909,726.2893386206897
2.57_132.1025,6.19077193103448,500.21891861853436,3.2136668275862,23.772264827586202,12.787390827586199,382.4494682051722,349.4840415396551,697.8946393742943,490.78050447562396
2.65_132.1023,744.8193775227575,4064.9595235258566,136.1393210206896,190.5296210206896,242.9151810206892,3738.693442648273,3411.3307042758584,4633.18057307084,3495.2062909405454
3.44_132.1027,185.3477516,6.653278875000001,119.70868800000001,1341.6653202,97.37022999999999,4.59427475,0.0,6.989132727272728,36.38373896551724
5.14_329.2323,1685.8231792634424,82962.54899314523,2097.8633211655,368.5344423310332,38918.22098291373,89598.52277553591,41492.146075536104,37630.40037663062,38288.15315755163
5.47_329.2324,23.06471674482755,1781.2977025862042,29.192611862068798,0.0,2956.64608593103,2139.5408674482737,929.7081037241367,527.6274400877735,161.358846516052
5.95_448.3059,189783.60852,95501.4035625,126383.94000000002,333768.49199999997,153583.9056,74516.5472,112485.773625,189626.70790909088,135760.99310344827
6.11_448.3057,54978.23607999999,17212.326165625003,28780.110399999998,9573.215999999999,21189.6848,28618.5119,19211.15055,35703.63383454544,25162.94
6.26_359.2215,186.83622135999997,34682.07484375001,0.0,0.0,700.1978,36034.99175,21970.581049999997,18703.420078181818,16050.348620689654
6.53_359.2214,153.56951999999998,21873.645221875,0.0,0.0,0.0,20951.202954999997,14185.109155000002,13058.22488363636,10060.333344827586
6.72_359.2221,0.0,1418.5125968750003,0.0,0.0,35.19197,1473.0478100000003,591.050965,630.3271563636364,270.5091655172414
6.83_359.2213,0.0,2742.7583593750005,0.0,0.0,46.52131,3394.70584,1721.8330250000004,1199.1101381818185,1058.668317241379
6.27_337.2355,947.8574781682753,9302.990773267229,22289.454243613745,2298.102442710344,2198.4049531620685,7835.731669291364,7330.603884065504,5099.925151379304,4740.467425206895
6.44_337.2362,215.25601000441347,41433.2000153931,18.647986157241398,53.841386157241196,1596.0550661572408,41947.473327123436,22972.6915703931,18838.293287840497,17658.196351599992
7.47_337.2367,282.44659948004903,1806.3848801710183,99.908418282382,253.210818282381,493.35677956476303,2847.778336135354,1006.1220339206559,1156.5402349016676,1064.8490232921586
6.26_335.2214,1595.1264386758571,124000.78676280135,393.2042988965516,132.9648729655172,2520.529839448267,140783.07651482726,77068.15531482735,62524.858750921456,59486.97353379301
6.51_335.2213,651.6054065655162,93746.48731284442,57.95638013793079,66.4973201379308,1230.391330137928,127021.4015503444,52533.50250034469,34423.95296761125,44521.127739999974
6.61_335.2216,8292.504725765502,353361.3568876937,2263.246405241376,7497.4100052413605,9449.653106551705,472029.55901310296,220493.58701310316,142704.50548559224,174280.3220820685
7.18_335.2212,29.913768,9741.306887499999,31.40822,41.0751,219.81358999999998,11321.693949999999,6491.33708,5201.321409090909,4298.772965517241
7.37_335.2219,111.02445600000001,2119.681921875,42.41352,65.38542,41.0643,2514.9896,1345.3122399999997,1641.077363636364,995.198351724138
6.46_311.2205,532.167955365517,19284.23304134696,64.9302706206896,35.11571062068962,2531.260105931032,19863.34184155171,10304.067611551709,10492.541509705316,10654.283112758603
6.66_311.2208,2441.0765210482737,83261.53190213341,225.76535710344803,296.336048551724,4827.961261379308,84110.94029275839,45172.74704275854,42912.740182758535,41634.10196689654
6.77_311.2207,1571.1860336551692,39139.76434342666,389.999928965516,296.527928965516,6946.609423448266,42773.494144827506,22097.079244827517,20565.931942194296,20467.204782758537
7.35_311.2209,48573.26941724128,42206.92475974128,47659.10469724124,49407.34469724124,34076.33549724128,35509.4131972413,38694.66484724129,42416.75324269584,40984.345524827506
7.27_588.3303,101842.5992,116860.49593750002,131998.796,136125.196,156936.198,118375.97599999998,137691.943,154234.7176363636,132048.85862068963
7.41_588.3306,495865.43200000003,671403.3625,680074.5599999999,669801.5199999999,722658.77,727807.95,762955.28,816697.7218181816,712755.3379310346
7.24_476.2773,37904.994600000005,32671.892937499997,36001.1,33413.204000000005,51518.017,27895.505199999996,44398.6565,51654.13345454547,40002.29517241379
7.38_476.2776,330615.621810931,307541.076535931,324119.883410931,308674.08741093095,447526.50341093104,267463.54441093106,369758.6734109309,437338.2088654766,364343.4475488621
7.52_476.2774,1090.2035484000003,844.9041312499999,666.27098,470.92719999999997,906.9284700000001,778.55387,795.041337,1295.3632727272727,698.520351724138
8.61_476.2769,15.627710262068923,17.222078491379296,0.0,0.0,3584.66829113793,80.80985808620676,31.924600896551645,26.028608532915325,16.306118929845386
7.29_544.3396,39865.872833517205,51645.92582101719,52298.22063351715,58008.9986335172,54422.842633517204,52894.05363351719,63196.98613351717,79564.97299715351,59179.46863351721
7.41_544.3395,469467.32945637824,702160.7474563774,669800.637456379,608263.217456379,619015.2374563791,778463.7124563768,830885.4124563776,925136.9120018305,743504.545732241
7.83_544.3375,12633.8251,34706.09531249999,19791.618200000004,18235.80212,21080.815899999998,37525.59913,31531.3244,39796.333418181806,30484.590344827586
7.27_520.3394,409910.19840551703,444956.4080055168,415094.978005517,323017.64200551703,529418.1680055162,448891.71800551657,523769.92300551635,577126.0089146073,493584.3904193102
7.42_520.3395,4900568.252179309,5855929.165679308,5435967.928179311,4185172.6481793104,6794679.928179311,5994597.128179308,7009086.478179308,7278978.600906584,6302085.038524135
7.26_564.3304,715136.6440000001,766434.2124999998,750442.5,583766.46,968520.8100000002,764913.165,886026.9199999999,907783.3963636361,834572.227586207
7.42_564.3306,3728253.70270344,4312396.42895344,4207829.32270344,3332879.7227034396,5105288.82270344,4349536.62270344,4845979.77270344,4902216.268157985,4611110.212358612
